country,year,emission
Finland,1960,3.40984673
Finland,1961,3.34887721
Finland,1962,3.74256737
Finland,1963,4.27963091
Finland,1964,5.02418994
Finland,1965,5.54983706
Finland,1966,6.44405024
Finland,1967,6.21338659
Finland,1968,7.20089014
Finland,1969,8.20434233
Finland,1970,8.76964388
Finland,1971,8.79913224
Finland,1972,9.51830728
Finland,1973,10.5842903
Finland,1974,9.9520677
Finland,1975,9.78501774
Finland,1976,10.8512429
Finland,1977,10.5972998
Finland,1978,10.9233905
Finland,1979,11.4034573
Finland,1980,12.1866726
Finland,1981,10.7314032
Finland,1982,8.92566418
Finland,1983,8.56224666
Finland,1984,8.65558094
Finland,1985,10.1313262
Finland,1986,10.8433329
Finland,1987,11.6899439
Finland,1988,10.5499398
Finland,1989,10.5924356
Finland,1990,10.9416936
Finland,1991,10.9957836
Finland,1992,10.3689177
Finland,1993,10.5517733
Finland,1994,11.7779241
Finland,1995,10.9812659
Finland,1996,12.2097978
Finland,1997,11.7941529
Finland,1998,11.1128402
Finland,1999,10.9399447
Finland,2000,10.6448561
Finland,2001,11.7752324
Finland,2002,12.1985972
Finland,2003,13.7559577
Finland,2004,12.9452512
Finland,2005,10.5716708
Finland,2006,12.7262798
Finland,2007,12.3092166
Finland,2008,10.6636072
Finland,2009,10.148213
Finland,2010,11.6587537
Finland,2011,10.2296246
Finland,2012,9.12638801
Finland,2013,9.22784673
Finland,2014,8.45187194
Finland,2015,7.81453741
Finland,2016,8.31801267
Finland,2017,7.8083386
Finland,2018,8.04275205
France,1960,5.81743531
France,1961,5.95275398
France,1962,6.23540842
France,1963,6.87529138
France,1964,7.01399455
France,1965,7.06275207
France,1966,6.89913998
France,1967,7.3265198
France,1968,7.51593199
France,1969,8.01484111
France,1970,8.44942796
France,1971,8.82991624
France,1972,9.10589769
France,1973,9.70910599
France,1974,9.31238203
France,1975,8.28681204
France,1976,9.32500895
France,1977,8.82830187
France,1978,9.24925441
France,1979,9.63552951
France,1980,9.16153198
France,1981,8.20310997
France,1982,7.84102702
