Country Name;Country Code;CO2 emissions (metric tons per capita);GDP per capita (current US$)
Afghanistan;AFG;0,23;556,007220861443
Albania;ALB;1,75998705871449;3952,80253807527
Algeria;DZA;3,6742329469226;4177,8895415169
American Samoa;ASM;;12059,6351646776
Andorra;AND;6,02618183683151;35770,7767044085
Angola;AGO;1,26092098873993;4166,97983330278
Antigua and Barbuda;ATG;5,23666520610018;14285,3297773091
Argentina;ARG;4,31443352245988;13789,060424772
Armenia;ARM;1,82529219202211;3607,28929855361
Aruba;ABW;;28396,9084228616
Australia;AUS;15,7864494009173;56707,0220772116
Austria;AUT;7,3067452655704;44178,0473777432
Azerbaijan;AZE;3,33390642946498;5500,31038244408
Bahamas;BHS;6,33351149118119;31776,0555852485
Bahrain;BHR;22,3055968824648;22634,0856475674
Bangladesh;BGD;0,458797539455164;1248,45330989613
Barbados;BRB;4,52112838953201;16524,899501274
Belarus;BLR;5,80166568791964;5967,05220384914
Belgium;BEL;8,44406111087655;40991,8081381432
Belize;BLZ;1,82862969140489;4770,23265563888
Benin;BEN;0,566378736988654;1076,79669785585
Bermuda;BMU;;102005,62564189
Bhutan;BTN;1,31888965976768;2752,63017233678
Bolivia;BOL;1,8776911887064;3035,97165489786
Bosnia and Herzegovina;BIH;5,71826479677561;4729,68995905382
Botswana;BWA;3,39979516352025;6402,91018338391
Brazil;BRA;2,34736573083425;8813,98980647828
British Virgin Islands;VGB;;
Brunei Darussalam;BRN;14,4126252669228;31164,0362528468
Bulgaria;BGR;6,22597604260022;7074,68102325059
Burkina Faso;BFA;0,18773519354615;653,32726813947
Burundi;BDI;0,0403541956650932;305,549652502657
Cabo Verde;CPV;0,952852841407173;3043,03138156811
Cambodia;KHM;0,552783940402418;1162,90499489402
Cameroon;CMR;0,343800786801621;1382,5097900241
Canada;CAN;15,651386155996;43596,1355365546
Cayman Islands;CYM;0;76284,1939286359
Central African Republic;CAF;0,068993590495443;377,422917680195
Chad;TCD;0,068740840017317;776,019752284262
Channel Islands;CHI;;
Chile;CHL;4,5616548528506;13574,1692377524
China;CHN;7,12422274723523;8016,43143498003
Colombia;COL;1,7051528338186;6175,8760297026
Comoros;COM;0,2315306102761;1242,58560784999
Congo Dem. Rep.;COD;0,0379043575216646;497,317039077365
Congo Rep.;COG;0,708388410189014;2447,53930827041
Costa Rica;CRI;1,55534308826366;11642,7780517194
Cote d'Ivoire;CIV;0,41160505823006;1972,54568305836
Croatia;HRV;3,96802362924766;11933,3773788281
Cuba;CUB;2,42742086665371;7694,01463710941
Curacao;CUW;;19951,3279030441
Cyprus;CYP;5,83985867197479;23408,3366816249
Czech Republic;CZE;9,57514081800604;17829,6983223668
Denmark;DNK;5,91186777544685;53254,8563700916
Djibouti;DJI;0,590810920811643;2658,94924528237
Dominica;DMA;2,52897787144362;7597,28889409255
Dominican Republic;DOM;2,28075678330622;6921,52059432776
Ecuador;ECU;2,51171630534427;6124,49088707134
Egypt Arab Rep.;EGY;2,44422078841638;3562,93265798423
El Salvador;SLV;1,10669819597127;3705,57970353453
Equatorial Guinea;GNQ;6,11000577626596;11283,3980543871
Eritrea;ERI;0,194446721299215;
Estonia;EST;11,6845964785044;17395,040616214
Ethiopia;ETH;0,127732852055517;640,541923075422
Faroe Islands;FRO;;52400,2972763835
Fiji;FJI;1,73836561397692;5390,71420703085
Finland;FIN;7,81453741205224;42784,6983616432
France;FRA;4,66608659650847;36638,184929157
French Polynesia;PYF;;
Gabon;GAB;2,81358943158305;7384,70070393071
Gambia;GMB;0,254091837419578;660,723571244322
Georgia;GEO;2,46961567411381;4014,18594419329
Germany;DEU;9,08729093927033;41086,7296737253
Ghana;GHA;0,543283051942276;1774,07477092508
Gibraltar;GIB;;
Greece;GRC;6,28506934230783;18076,6067552915
Greenland;GRL;;44536,4013080999
Grenada;GRD;2,4634362198115;9096,53865246322
Guam;GUM;;35829,2503598989
Guatemala;GTM;1,04962807257902;3994,63691288475
Guinea;GIN;0,222181479231805;769,255475432822
Guinea-Bissau;GNB;0,161178259125136;603,399381547733
Guyana;GUY;2,67124296192632;5576,82585151355
Haiti;HTI;0,310409759582031;1386,85419078846
Honduras;HND;1,08307955400386;2286,20303687333
Hong Kong SAR, China;HKG;;42431,8882817277
Hungary;HUN;4,40718039205009;12720,7120220668
Iceland;ISL;6,22704532744888;52951,6815110898
India;IND;1,64119839274392;1605,60544457087
Indonesia;IDN;1,89965869189427;3331,69511469189
Iran Islamic Rep.;IRN;7,67248132451568;4904,32731485169
Iraq;IRQ;4,55945050904681;4688,31801743466
Ireland;IRL;7,8669371072513;61987,5509982224
Isle of Man;IMN;;85126,9704694293
Israel;ISR;7,89250724931683;35808,4364289727
Italy;ITA;5,56325970991024;30230,2263021296
Jamaica;JAM;2,52159788365645;4907,927415189
Japan;JPN;9,29283236721435;34960,6393843385
Jordan;JOR;2,73671830999443;4164,10876894014
Kazakhstan;KAZ;11,7791874344389;10510,7718884149
Kenya;KEN;0,356946384459996;1464,55400904329
Kiribati;KIR;0,540896265111289;1542,61646547846
"Korea, Dem. People's Rep.";PRK;1,00461280078425;
"Korea, Republic of";KOR;11,8888685702251;28732,2310762599
Kosovo;XKX;;3520,7664492744
Kuwait;KWT;22,9534558977659;29869,552753237
Kyrgyz Republic;KGZ;1,72405110040457;1121,08283510739
Lao PDR;LAO;1,2846453726065;2140,04432280044
Latvia;LVA;3,70159294917339;13780,9135484006
Lebanon;LBN;4,14071956062144;7663,92023216349
Lesotho;LSO;1,08304423822894;1146,06468787308
Liberia;LBR;0,281738703451903;721,581050523128
Libya;LBY;8,38849448803931;4337,91913919348
Liechtenstein;LIE;4,27065260910183;167313,266280449
Lithuania;LTU;3,81078931877408;14258,2293345128
Luxembourg;LUX;16,0286795738794;105419,608507426
Macao SAR, China;MAC;;74818,948126372
North Macedonia;MKD;3,61313209282465;4861,55397141497
Madagascar;MDG;0,136997154420552;467,235431614667
Malawi;MWI;0,0716618777621548;380,596987683774
Malaysia;MYS;7,68227904197967;9955,24272167626
Maldives;MDV;2,96759387488624;9033,41027034576
Mali;MLI;0,195541291554245;751,47288662264
Malta;MLT;3,7074236102217;24921,6036820869
Marshall Islands;MHL;2,61123877167328;3199,88684631989
Mauritania;MRT;0,729060396846109;1524,07175254803
Mauritius;MUS;3,13637281651823;9260,44730250635
Mexico;MEX;3,87819450978334;9616,64555810607
Micronesia Fed. Sts.;FSM;1,37758756864978;2906,61701228808
Moldova;MDA;2,82939323274052;2732,45711293733
Monaco;MCO;;165989,505113832
Mongolia;MNG;5,76968036304296;3875,32167504717
Montenegro;MNE;3,79324256339617;6514,27269528653
Morocco;MAR;1,82179535379006;2875,25798516781
Mozambique;MOZ;0,208564447579157;589,85904996253
Myanmar;MMR;0,360853051298232;1196,74335747421
Namibia;NAM;1,8445713229205;4896,61526001377
Nauru;NRU;4,81974166184693;8341,01227776155
Nepal;NPL;0,23912611915003;901,749607715071
Netherlands;NLD;9,33357253158707;45175,2318933798
New Caledonia;NCL;;32520,2941628143
New Zealand;NZL;6,98355534342865;38630,7265886928
Nicaragua;NIC;0,846826585662696;2049,8516660809
Niger;NER;0,0984918104059647;484,153137350801
Nigeria;NGA;0,597060395913481;2687,48005643212
Northern Mariana Islands;MNP;;16314,3835493645
Norway;NOR;7,44708550869241;74355,5158575643
Oman;OMN;16,0052829150518;18444,9270020773
Pakistan;PAK;0,820300353282738;1356,66783065763
Palau;PLW;12,4540050948203;15876,4619303708
Panama;PAN;2,69623962766695;13630,3011411301
Papua New Guinea;PNG;0,793066208571233;2679,34657921324
Paraguay;PRY;0,95234592552924;5413,77602061858
Peru;PER;1,76628469693498;6229,10067398112
Philippines;PHL;1,11317629181088;3001,04318170103
Poland;POL;7,60929987280715;12578,4954734362
Portugal;PRT;4,81266984331839;19242,3664710981
Puerto Rico;PRI;;29763,4883013861
Qatar;QAT;32,4705695270077;63039,1126258027
Romania;ROU;3,6789166685507;8969,14892146193
Russian Federation;RUS;10,808909312187;9313,01362484996
Rwanda;RWA;0,0818009148684685;751,077392617885
Samoa;WSM;1,24024598211979;4071,92695930307
San Marino;SMR;;42662,9026513461
Sao Tome and Principe;STP;0,601687734094134;1584,77565743788
Saudi Arabia;SAU;17,6917123436156;20627,9269288204
Senegal;SEN;0,636556012470462;1219,24941513302
Serbia;SRB;6,3647022296048;5588,98072768556
Seychelles;SYC;5,35223027435532;14745,3414620288
Sierra Leone;SLE;0,13106691677209;588,228862794816
Singapore;SGP;8,22041256714993;55646,6187469505
Sint Maarten (Dutch part);SXM;;32274,8905524359
Slovak Republic;SVK;5,6694557930868;16335,6453975896
Slovenia;SVN;6,38226418696884;20881,7669299329
Solomon Islands;SLB;0,513982819709749;2167,11992829078
Somalia;SOM;0,047110994372483;386,437816984877
South Africa;ZAF;7,67120155502521;6259,83968110571
South Sudan;SSD;0,183843137196347;1119,65143716565
Spain;ESP;5,51794438614828;25732,0183647454
